field,precision,recall,f1,tp,fp,fn
party_a,0.875,0.875,0.875,7,1,1
party_b,1.0,1.0,1.0,8,0,0
effective_date,1.0,1.0,1.0,8,0,0
amount,1.0,1.0,1.0,8,0,0
governing_law,1.0,1.0,1.0,8,0,0
obligation,1.0,1.0,1.0,8,0,0
